# C:/Users/daimon/Downloads/ymir_retail_12.0.1.66198/dumps/dump_12.0.1.66838_2026-04-21_18-11-22.pkt
# idx	dir	opcode	name	size
0	SMSG	0x00490000	Unknown	69
1	CMSG	0x00410001	Unknown	161
2	SMSG	0x00490004	Unknown	73
3	CMSG	0x00410005	Unknown	4
4	SMSG	0x00420001	Unknown	1147
5	SMSG	0x00420121	Unknown	43
6	SMSG	0x00420063	Unknown	163
7	SMSG	0x0042036A	SMSG_MIRROR_VARS	1683
8	SMSG	0x0046000E	Unknown	8
9	SMSG	0x00460001	Unknown	7220
10	SMSG	0x004201B4	Unknown	174
11	SMSG	0x00420266	Unknown	36
12	SMSG	0x004202AF	Unknown	5
13	CMSG	0x00400014	Unknown	4
14	CMSG	0x004000EA	Unknown	4
15	SMSG	0x00420018	Unknown	1631
16	SMSG	0x0042035B	Unknown	65
17	CMSG	0x00400132	Unknown	5
18	CMSG	0x00290036	Unknown	4
19	CMSG	0x0040010F	Unknown	4
20	CMSG	0x00400014	Unknown	4
21	CMSG	0x004000EA	Unknown	4
22	CMSG	0x004000EA	Unknown	4
23	CMSG	0x004000E9	Unknown	4
24	CMSG	0x00400123	Unknown	4
25	CMSG	0x00400176	Unknown	4
26	CMSG	0x004000EA	Unknown	4
27	CMSG	0x004000EA	Unknown	4
28	CMSG	0x004000EA	Unknown	4
29	SMSG	0x00420323	Unknown	5
30	SMSG	0x00420274	Unknown	13
31	SMSG	0x00420018	Unknown	1631
32	SMSG	0x0042035B	Unknown	65
33	CMSG	0x00400011	Unknown	64
34	CMSG	0x004000C3	Unknown	10
35	CMSG	0x00400124	Unknown	43
36	CMSG	0x004000CA	Unknown	4
37	CMSG	0x004000EA	Unknown	4
38	SMSG	0x00460003	Unknown	1101140
39	SMSG	0x004201B2	Unknown	355
40	SMSG	0x004202AD	Unknown	32
41	SMSG	0x004201BE	Unknown	12
42	CMSG	0x00400010	Unknown	378
43	SMSG	0x00460000	Unknown	21
44	SMSG	0x00460000	Unknown	21
45	SMSG	0x00460000	Unknown	21
46	SMSG	0x00460000	Unknown	21
47	SMSG	0x00460000	Unknown	21
48	SMSG	0x00460000	Unknown	21
49	SMSG	0x00460000	Unknown	21
50	SMSG	0x00460000	Unknown	21
51	SMSG	0x00460000	Unknown	21
52	SMSG	0x00460000	Unknown	21
53	SMSG	0x00460000	Unknown	21
54	SMSG	0x00460000	Unknown	21
55	SMSG	0x00460000	Unknown	21
56	SMSG	0x00460000	Unknown	21
57	SMSG	0x00460000	Unknown	21
58	SMSG	0x00460000	Unknown	21
59	SMSG	0x00460000	Unknown	21
60	SMSG	0x00460000	Unknown	21
61	SMSG	0x00460000	Unknown	21
62	SMSG	0x00460000	Unknown	21
63	SMSG	0x00460000	Unknown	21
64	SMSG	0x00460000	Unknown	21
65	SMSG	0x00460000	Unknown	21
66	SMSG	0x00460000	Unknown	21
67	SMSG	0x00460000	Unknown	21
68	SMSG	0x00460000	Unknown	21
69	SMSG	0x00460000	Unknown	21
70	SMSG	0x00460000	Unknown	21
71	SMSG	0x00460000	Unknown	21
72	SMSG	0x00460000	Unknown	21
73	SMSG	0x00460000	Unknown	21
74	SMSG	0x00460000	Unknown	21
75	SMSG	0x00460000	Unknown	21
76	SMSG	0x00460000	Unknown	21
77	SMSG	0x00460000	Unknown	21
78	SMSG	0x00460000	Unknown	21
79	SMSG	0x00460000	Unknown	21
80	SMSG	0x00460000	Unknown	21
81	SMSG	0x00460000	Unknown	21
82	SMSG	0x00460000	Unknown	21
83	SMSG	0x00460000	Unknown	21
84	SMSG	0x00460000	Unknown	21
85	SMSG	0x00460000	Unknown	21
86	SMSG	0x00460000	Unknown	21
87	SMSG	0x00460000	Unknown	21
88	SMSG	0x00460000	Unknown	21
89	SMSG	0x00460000	Unknown	21
90	SMSG	0x00460000	Unknown	21
91	SMSG	0x00460000	Unknown	21
92	SMSG	0x00460000	Unknown	21
93	SMSG	0x00460000	Unknown	21
94	SMSG	0x00460000	Unknown	21
95	SMSG	0x00460000	Unknown	21
96	SMSG	0x00460000	Unknown	21
97	SMSG	0x00460000	Unknown	21
98	SMSG	0x00460000	Unknown	21
99	SMSG	0x00460000	Unknown	21
100	SMSG	0x00460000	Unknown	21
101	SMSG	0x00460000	Unknown	21
102	SMSG	0x00460000	Unknown	21
103	SMSG	0x00460000	Unknown	21
104	SMSG	0x00460000	Unknown	21
105	SMSG	0x00460000	Unknown	21
106	SMSG	0x00460000	Unknown	21
107	SMSG	0x00460000	Unknown	21
108	SMSG	0x00460000	Unknown	21
109	SMSG	0x00460000	Unknown	21
110	SMSG	0x00460000	Unknown	21
111	SMSG	0x00460000	Unknown	21
112	SMSG	0x00460000	Unknown	21
113	SMSG	0x00460000	Unknown	21
114	SMSG	0x00460000	Unknown	21
115	SMSG	0x00460000	Unknown	21
116	SMSG	0x00460000	Unknown	21
117	SMSG	0x00460000	Unknown	21
118	SMSG	0x00460000	Unknown	21
119	SMSG	0x00460000	Unknown	21
120	SMSG	0x00460000	Unknown	21
121	SMSG	0x00460000	Unknown	21
122	SMSG	0x00460000	Unknown	21
123	SMSG	0x00460000	Unknown	21
124	SMSG	0x00460000	Unknown	21
125	SMSG	0x00460000	Unknown	21
126	SMSG	0x00460000	Unknown	21
127	SMSG	0x00460000	Unknown	21
128	SMSG	0x00460000	Unknown	21
129	SMSG	0x00460000	Unknown	21
130	SMSG	0x00460000	Unknown	21
131	SMSG	0x00460000	Unknown	21
132	SMSG	0x00460000	Unknown	21
133	SMSG	0x00460000	Unknown	21
134	SMSG	0x00460000	Unknown	21
135	CMSG	0x004000B5	Unknown	8
